ID,Group,Distance,Intensity,Treatment
2189,control,0,32.1875,clinostat
2189,control,1,33.8125,clinostat
2189,control,2,35.625,clinostat
2189,control,3,37.8125,clinostat
2189,control,4,40,clinostat
2189,control,5,41.8125,clinostat
2189,control,6,43.3125,clinostat
2189,control,7,45.125,clinostat
2189,control,8,46.625,clinostat
2189,control,9,47.9375,clinostat
2189,control,10,49.5625,clinostat
2189,control,11,51,clinostat
2189,control,12,52.875,clinostat
2189,control,13,54.9375,clinostat
2189,control,14,56.5,clinostat
2189,control,15,57.625,clinostat
2189,control,16,58.5,clinostat
2189,control,17,60.625,clinostat
2189,control,18,62.875,clinostat
2189,control,19,64.5625,clinostat
2189,control,20,65.875,clinostat
2189,control,21,67,clinostat
2189,control,22,68.9375,clinostat
2189,control,23,71.75,clinostat
2189,control,24,73.6875,clinostat
2189,control,25,74.375,clinostat
2189,control,26,74.375,clinostat
2189,control,27,74.125,clinostat
2189,control,28,73.375,clinostat
2189,control,29,73.6875,clinostat
2189,control,30,73.625,clinostat
2189,control,31,73.6875,clinostat
2189,control,32,74.875,clinostat
2189,control,33,75.5625,clinostat
2189,control,34,75.4375,clinostat
2189,control,35,75.0625,clinostat
2189,control,36,74.8125,clinostat
2189,control,37,74.625,clinostat
2189,control,38,73.5,clinostat
2189,control,39,72,clinostat
2189,control,40,71.1875,clinostat
2189,control,41,70.25,clinostat
2189,control,42,68.875,clinostat
2189,control,43,67.625,clinostat
2189,control,44,66.4375,clinostat
2189,control,45,65.1875,clinostat
2189,control,46,63.625,clinostat
2189,control,47,63.0625,clinostat
2189,control,48,63.6875,clinostat
2189,control,49,64.5625,clinostat
2189,control,50,65.125,clinostat
2189,control,51,65.4375,clinostat
2189,control,52,65.25,clinostat
2189,control,53,65.75,clinostat
2189,control,54,65.625,clinostat
2189,control,55,65.125,clinostat
2189,control,56,64.125,clinostat
2189,control,57,62.375,clinostat
2189,control,58,60,clinostat
2189,control,59,57.75,clinostat
2189,control,60,56.8125,clinostat
2189,control,61,56.875,clinostat
2189,control,62,56.375,clinostat
2189,control,63,54.75,clinostat
2189,control,64,52.25,clinostat
2189,control,65,50.875,clinostat
2189,control,66,50.125,clinostat
2189,control,67,48.9375,clinostat
2189,control,68,47,clinostat
2189,control,69,45.0625,clinostat
2189,control,70,43.0625,clinostat
2189,control,71,41.1875,clinostat
2189,control,72,39.3125,clinostat
2189,control,73,37.5625,clinostat
2189,control,74,35.875,clinostat
2189,control,75,34.8125,clinostat
2189,control,76,33.6875,clinostat
2189,control,77,32.75,clinostat
2189,control,78,32.125,clinostat
2191,control,0,24.6111,clinostat
2191,control,1,27.2222,clinostat
2191,control,2,29.4444,clinostat
2191,control,3,30.6111,clinostat
2191,control,4,32.1111,clinostat
2191,control,5,34.8889,clinostat
2191,control,6,36.0556,clinostat
2191,control,7,36.4444,clinostat
2191,control,8,37.1667,clinostat
2191,control,9,40.2222,clinostat
2191,control,10,45.0556,clinostat
2191,control,11,48.5556,clinostat
2191,control,12,49.9444,clinostat
2191,control,13,50.8333,clinostat
2191,control,14,52.5,clinostat
2191,control,15,54,clinostat
2191,control,16,54.6111,clinostat
2191,control,17,55.9444,clinostat
2191,control,18,58,clinostat
2191,control,19,60.3889,clinostat
2191,control,20,61.8333,clinostat
2191,control,21,62.6111,clinostat
2191,control,22,64.2778,clinostat
2191,control,23,67.4444,clinostat
2191,control,24,70.3889,clinostat
2191,control,25,72.7222,clinostat
2191,control,26,74.2222,clinostat
2191,control,27,76.2222,clinostat
2191,control,28,79.5,clinostat
2191,control,29,82.8889,clinostat
2191,control,30,87.8333,clinostat
2191,control,31,91.6667,clinostat
2191,control,32,92.7222,clinostat
2191,control,33,93.6667,clinostat
2191,control,34,92.7222,clinostat
2191,control,35,91.7778,clinostat
2191,control,36,91.3333,clinostat
2191,control,37,91.3889,clinostat
2191,control,38,92.3889,clinostat
2191,control,39,92,clinostat
2191,control,40,90.1111,clinostat
2191,control,41,90.7222,clinostat
2191,control,42,93.8333,clinostat
2191,control,43,99.2222,clinostat
2191,control,44,104,clinostat
2191,control,45,107.2222,clinostat
2191,control,46,109.3889,clinostat
2191,control,47,111.3889,clinostat
2191,control,48,111.7222,clinostat
2191,control,49,110.1111,clinostat
2191,control,50,108,clinostat
2191,control,51,106.3333,clinostat
2191,control,52,105.2778,clinostat
2191,control,53,104.2778,clinostat
2191,control,54,103.8889,clinostat
2191,control,55,103.9444,clinostat
2191,control,56,104.0556,clinostat
2191,control,57,103.5,clinostat
2191,control,58,102.8889,clinostat
2191,control,59,102.7778,clinostat
2191,control,60,103.1111,clinostat
2191,control,61,103,clinostat
2191,control,62,102.8889,clinostat
2191,control,63,103.1667,clinostat
2191,control,64,103.8333,clinostat
2191,control,65,103.4444,clinostat
2191,control,66,101.2222,clinostat
2191,control,67,97.8333,clinostat
2191,control,68,95.3333,clinostat
2191,control,69,94.6667,clinostat
2191,control,70,94.7778,clinostat
2191,control,71,94,clinostat
2191,control,72,92.1667,clinostat
2191,control,73,89.7778,clinostat
2191,control,74,86.9444,clinostat
2191,control,75,83.6667,clinostat
2191,control,76,79.1667,clinostat
2191,control,77,75.8889,clinostat
2191,control,78,72.0556,clinostat
2191,control,79,69.6667,clinostat
2191,control,80,67.2222,clinostat
2191,control,81,64.2222,clinostat
2191,control,82,61.2778,clinostat
2191,control,83,58.7222,clinostat
2191,control,84,57.6111,clinostat
2191,control,85,55.5,clinostat
2191,control,86,52.0556,clinostat
2191,control,87,48.7778,clinostat
2191,control,88,46.8889,clinostat
2191,control,89,45.3333,clinostat
2191,control,90,43.7778,clinostat
2191,control,91,42.1667,clinostat
2191,control,92,40.5556,clinostat
2191,control,93,37.7778,clinostat
2191,control,94,35.2222,clinostat
2191,control,95,33.8333,clinostat
2191,control,96,32.3889,clinostat
2191,control,97,30.6111,clinostat
2191,control,98,28.8889,clinostat
2191,control,99,27.9444,clinostat
2192,control,0,35.9167,clinostat
2192,control,1,36.7083,clinostat
2192,control,2,37.7917,clinostat
2192,control,3,38.8333,clinostat
2192,control,4,39.75,clinostat
2192,control,5,41.2917,clinostat
2192,control,6,42.875,clinostat
2192,control,7,44.9167,clinostat
2192,control,8,47.5417,clinostat
2192,control,9,50.625,clinostat
2192,control,10,53.9167,clinostat
2192,control,11,56.9583,clinostat
2192,control,12,59.3333,clinostat
2192,control,13,61.7083,clinostat
2192,control,14,64.2917,clinostat
2192,control,15,66.5,clinostat
2192,control,16,67.375,clinostat
2192,control,17,67.5417,clinostat
2192,control,18,67.2917,clinostat
2192,control,19,67.2083,clinostat
2192,control,20,67.625,clinostat
2192,control,21,68.2917,clinostat
2192,control,22,69.25,clinostat
2192,control,23,70.375,clinostat
2192,control,24,70.9583,clinostat
2192,control,25,70.6667,clinostat
2192,control,26,70.5,clinostat
2192,control,27,70.125,clinostat
2192,control,28,69.75,clinostat
2192,control,29,69.1667,clinostat
2192,control,30,68.3333,clinostat
2192,control,31,68,clinostat
2192,control,32,67.5,clinostat
2192,control,33,67,clinostat
2192,control,34,66.625,clinostat
2192,control,35,66.5833,clinostat
2192,control,36,67.25,clinostat
