ID,Group,Distance,Intensity
1603,control,0,21.32
1603,control,1,21.48
1603,control,2,22.44
1603,control,3,23.2
1603,control,4,24.2
1603,control,5,25.16
1603,control,6,26.64
1603,control,7,29.2
1603,control,8,30.56
1603,control,9,31.12
1603,control,10,32.12
1603,control,11,33.12
1603,control,12,35.2
1603,control,13,38.24
1603,control,14,42.2
1603,control,15,46.04
1603,control,16,50.12
1603,control,17,53.52
1603,control,18,57
1603,control,19,60.8
1603,control,20,63.84
1603,control,21,65.76
1603,control,22,66.56
1603,control,23,66.48
1603,control,24,67
1603,control,25,68.64
1603,control,26,70.64
1603,control,27,70.24
1603,control,28,69.16
1603,control,29,71.32
1603,control,30,74.08
1603,control,31,75.56
1603,control,32,79.32
1603,control,33,85.16
1603,control,34,91.08
1603,control,35,95.52
1603,control,36,97.92
1603,control,37,99.92
1603,control,38,101.8
1603,control,39,101.8
1603,control,40,99.84
1603,control,41,98.36
1603,control,42,98.16
1603,control,43,97.48
1603,control,44,96.72
1603,control,45,96.36
1603,control,46,96.04
1603,control,47,96.12
1603,control,48,96.4
1603,control,49,97.32
1603,control,50,98.4
1603,control,51,98.64
1603,control,52,97.96
1603,control,53,98.12
1603,control,54,98.96
1603,control,55,99.28
1603,control,56,98.04
1603,control,57,95.96
1603,control,58,95.36
1603,control,59,95.24
1603,control,60,94.68
1603,control,61,93.24
1603,control,62,91.4
1603,control,63,89.44
1603,control,64,88.48
1603,control,65,88.4
1603,control,66,87.84
1603,control,67,85.48
1603,control,68,81.56
1603,control,69,77.72
1603,control,70,74.92
1603,control,71,73.4
1603,control,72,72.12
1603,control,73,71.68
1603,control,74,71.6
1603,control,75,71.52
1603,control,76,70.4
1603,control,77,69.12
1603,control,78,66.2
1603,control,79,61.88
1603,control,80,58.44
1603,control,81,56.44
1603,control,82,55.4
1603,control,83,54.48
1603,control,84,53.24
1603,control,85,52.2
1603,control,86,50.44
1603,control,87,46.92
1603,control,88,43.28
1603,control,89,40.32
1603,control,90,38.48
1603,control,91,36.76
1603,control,92,33.72
1603,control,93,30.04
1603,control,94,27.12
1603,control,95,25.12
1603,control,96,23.32
1603,control,97,20.96
1604,control,0,54.4151
1604,control,1,58.8491
1604,control,2,65.4906
1604,control,3,72.6226
1604,control,4,80.3396
1604,control,5,85.8868
1604,control,6,87.4906
1604,control,7,88.5849
1604,control,8,92.283
1604,control,9,96.9811
1604,control,10,100.2076
1604,control,11,103.7547
1604,control,12,108.8868
1604,control,13,114.0755
1604,control,14,117.1509
1604,control,15,117.9434
1604,control,16,117.4151
1604,control,17,116.8679
1604,control,18,116.3208
1604,control,19,116.0566
1604,control,20,116.0189
1604,control,21,116.2642
1604,control,22,115.6604
1604,control,23,114.6038
1604,control,24,113.9245
1604,control,25,114.0755
1604,control,26,114.6038
1604,control,27,114.3962
1604,control,28,114.1509
1604,control,29,114.1887
1604,control,30,114.434
1604,control,31,114.8868
1604,control,32,114.8302
1604,control,33,114.1132
1604,control,34,112.8679
1604,control,35,110.7358
1604,control,36,108.0566
1604,control,37,105.8302
1604,control,38,102.0189
1604,control,39,96.0377
1604,control,40,91.3774
1604,control,41,88.0377
1604,control,42,84.1887
1604,control,43,79.1698
1604,control,44,73.8113
1604,control,45,67.0943
1604,control,46,59.3774
1604,control,47,54.1698
1605,control,0,65.2069
1605,control,1,66.4828
1605,control,2,69
1605,control,3,72.0172
1605,control,4,74.9655
1605,control,5,80.5517
1605,control,6,86.1552
1605,control,7,90.2759
1605,control,8,93.0172
1605,control,9,96.3621
1605,control,10,98.8966
1605,control,11,102.5345
1605,control,12,106.1207
1605,control,13,105.8793
1605,control,14,103.6034
1605,control,15,103.4828
1605,control,16,104.8621
1605,control,17,107.931
1605,control,18,112.3276
1605,control,19,116.2759
1605,control,20,118.2759
1605,control,21,118.5345
1605,control,22,117.9828
1605,control,23,117.5172
1605,control,24,116.3793
1605,control,25,114.9655
1605,control,26,114.1379
1605,control,27,113.4483
1605,control,28,112.9828
1605,control,29,112.931
1605,control,30,113.6724
1605,control,31,114.8793
1605,control,32,114.3276
1605,control,33,113.5517
1605,control,34,112.0345
1605,control,35,109.3621
1605,control,36,107.4138
1605,control,37,106.6034
1605,control,38,102.4138
1605,control,39,96.2069
1605,control,40,91.8276
1605,control,41,87.7759
1605,control,42,83.7759
1605,control,43,81.2241
1605,control,44,80.3448
1605,control,45,77.7586
1605,control,46,76.3793
1605,control,47,76.6552
1605,control,48,74.069
1605,control,49,68.8103
1606,control,0,58.4512
1606,control,1,59.5
1606,control,2,60.4268
1606,control,3,62.0732
1606,control,4,66.6585
1606,control,5,72.3537
1606,control,6,78.1219
1606,control,7,83.8415
1606,control,8,86.7317
1606,control,9,89.7805
1606,control,10,93.9268
1606,control,11,97.5732
1606,control,12,100.5976
1606,control,13,103.3902
1606,control,14,104.2927
1606,control,15,103.6585
1606,control,16,103.3659
1606,control,17,103.8902
1606,control,18,104.2805
1606,control,19,104.5488
1606,control,20,105.1829
1606,control,21,106.1951
1606,control,22,107.2927
1606,control,23,108.061
1606,control,24,109.2073
1606,control,25,111.5366
1606,control,26,114.2683
1606,control,27,116.1098
1606,control,28,116.2805
1606,control,29,115.561
1606,control,30,113.0976
1606,control,31,110.5854
1606,control,32,109.6341
1606,control,33,108.8902
1606,control,34,108.9512
1606,control,35,109.6951
1606,control,36,109.0122
1606,control,37,107.6341
1606,control,38,106.5488
1606,control,39,105.9878
1606,control,40,105.3049
1606,control,41,103.4146
1606,control,42,99.7927
1606,control,43,94.1829
1606,control,44,88.3171
1606,control,45,84.2073
1606,control,46,81.7317
1606,control,47,79
1606,control,48,74.6463
1606,control,49,71.5366
1606,control,50,69.9146
1606,control,51,66.4146
1606,control,52,61.2439
1606,control,53,57.0244
1607,control,0,56.2742
1607,control,1,59.5323
1607,control,2,64.8064
1607,control,3,70.2903
1607,control,4,74.7903
1607,control,5,78.3064
