ID,group,distance,intensity
1676,control,0,38.0455
1676,control,1,38.9091
1676,control,2,40.3636
1676,control,3,41.6364
1676,control,4,42.4091
1676,control,5,42.6818
1676,control,6,43.1818
1676,control,7,44
1676,control,8,44.8636
1676,control,9,45.6818
1676,control,10,46.2273
1676,control,11,46.7727
1676,control,12,47.1818
1676,control,13,48.0455
1676,control,14,49.1364
1676,control,15,49.8182
1676,control,16,49.7273
1676,control,17,49.2727
1676,control,18,48.8636
1676,control,19,49.5
1676,control,20,50.4091
1676,control,21,51.0909
1676,control,22,51.9091
1676,control,23,52.9091
1676,control,24,53.5909
1676,control,25,54.0909
1676,control,26,54.5455
1676,control,27,55.5455
1676,control,28,56.9545
1676,control,29,58.5909
1676,control,30,60.5455
1676,control,31,62.7727
1676,control,32,65.0909
1676,control,33,67.5909
1676,control,34,68.5455
1676,control,35,69.0455
1676,control,36,69.5909
1676,control,37,69.9545
1676,control,38,71.0455
1676,control,39,73.1364
1676,control,40,75.8182
1676,control,41,78.9091
1676,control,42,81.5
1676,control,43,83.3182
1676,control,44,85
1676,control,45,85.8182
1676,control,46,86.0909
1676,control,47,86
1676,control,48,85.5
1676,control,49,85.6364
1676,control,50,87.7273
1676,control,51,90.9091
1676,control,52,93.9545
1676,control,53,96.6818
1676,control,54,98.4545
1676,control,55,99.7273
1676,control,56,100
1676,control,57,99.7273
1676,control,58,99.2273
1676,control,59,98.8182
1676,control,60,98.5455
1676,control,61,98.2273
1676,control,62,98.2727
1676,control,63,98.4545
1676,control,64,98.8636
1676,control,65,99.7727
1676,control,66,99.7727
1676,control,67,99.1364
1676,control,68,98.1364
1676,control,69,97.7727
1676,control,70,98
1676,control,71,97.9091
1676,control,72,97.5909
1676,control,73,97.5909
1676,control,74,97.4545
1676,control,75,97.2727
1676,control,76,97
1676,control,77,96.8182
1676,control,78,96.3182
1676,control,79,95.5455
1676,control,80,94.9091
1676,control,81,94.9091
1676,control,82,95.3636
1676,control,83,95.5455
1676,control,84,95.3182
1676,control,85,95.3636
1676,control,86,96.2273
1676,control,87,97.4091
1676,control,88,97.7727
1676,control,89,96.9091
1676,control,90,95.7273
1676,control,91,93.9091
1676,control,92,91.0455
1676,control,93,88.4091
1676,control,94,85.9545
1676,control,95,83.0909
1676,control,96,79.5455
1676,control,97,76.2727
1676,control,98,73.9091
1676,control,99,72.3182
1676,control,100,71.5909
1676,control,101,70.0909
1676,control,102,67.9091
1676,control,103,65.0455
1676,control,104,63.1818
1676,control,105,60.7727
1676,control,106,57.8182
1676,control,107,56.3636
1676,control,108,55.8636
1676,control,109,55.0909
1676,control,110,52.8182
1676,control,111,50.5909
1676,control,112,49.1818
1676,control,113,48.0455
1676,control,114,47.5
1676,control,115,47.5
1676,control,116,47.2273
1676,control,117,46.6818
1676,control,118,46.4545
1676,control,119,46
1676,control,120,45.5
1676,control,121,44.6364
1676,control,122,43.6364
1676,control,123,42.6818
1676,control,124,41.4091
1676,control,125,40
1676,control,126,39.2727
1676,control,127,38.7727
1676,control,128,38.6364
1676,control,129,38.5
1676,control,130,38.1818
1676,control,131,37.0909
1677,control,0,34.0833
1677,control,1,34.875
1677,control,2,36.375
1677,control,3,37.5
1677,control,4,38.2917
1677,control,5,39.2083
1677,control,6,40.0417
1677,control,7,40.9583
1677,control,8,41.625
1677,control,9,41.9167
1677,control,10,42.2083
1677,control,11,42.5833
1677,control,12,43.375
1677,control,13,44.375
1677,control,14,45.4167
1677,control,15,46.3333
1677,control,16,46.875
1677,control,17,47.6667
1677,control,18,48.9583
1677,control,19,50.125
1677,control,20,51.5
1677,control,21,53.8333
1677,control,22,56.3333
1677,control,23,58.5417
1677,control,24,60.25
1677,control,25,61.375
1677,control,26,62.5
1677,control,27,63.7083
1677,control,28,64.125
1677,control,29,64.9167
1677,control,30,65.25
1677,control,31,65.0833
1677,control,32,65
1677,control,33,65.9583
1677,control,34,67.0833
1677,control,35,67.9167
1677,control,36,68.4167
1677,control,37,68.7083
1677,control,38,68.8333
1677,control,39,68.5833
1677,control,40,67.9167
1677,control,41,67.1667
1677,control,42,66.75
1677,control,43,67.125
1677,control,44,67.3333
1677,control,45,67.25
1677,control,46,66.7083
1677,control,47,66.125
1677,control,48,66.5
1677,control,49,67.8333
1677,control,50,69.7917
1677,control,51,71.7083
1677,control,52,73.4583
1677,control,53,75.375
1677,control,54,77.8333
1677,control,55,80.2083
1677,control,56,82.4167
1677,control,57,84.2083
1677,control,58,85.1667
1677,control,59,85.875
1677,control,60,86.9167
1677,control,61,88.125
1677,control,62,89.0417
1677,control,63,89.7083
1677,control,64,89.375
1677,control,65,88.625
1677,control,66,88.2917
1677,control,67,89.0417
1677,control,68,90.0417
1677,control,69,91.125
1677,control,70,91.8333
1677,control,71,91.625
1677,control,72,90.7083
1677,control,73,90.5833
1677,control,74,89.75
1677,control,75,88.625
1677,control,76,87.25
1677,control,77,86
1677,control,78,84.5
1677,control,79,82.4583
1677,control,80,81.375
1677,control,81,80.7917
1677,control,82,81.0833
1677,control,83,80.875
1677,control,84,80
1677,control,85,79.5
1677,control,86,78.3333
1677,control,87,76.25
1677,control,88,74.4167
1677,control,89,73.2917
1677,control,90,71.9167
1677,control,91,69.875
1677,control,92,67.75
1677,control,93,66.2083
1677,control,94,65.1667
1677,control,95,63.8333
1677,control,96,62.125
1677,control,97,60.6667
1677,control,98,59.8333
1677,control,99,60.1667
1677,control,100,60.7917
1677,control,101,60.9583
1677,control,102,60.8333
1677,control,103,60.5833
1677,control,104,60.4583
1677,control,105,59.9167
1677,control,106,58.9583
1677,control,107,57.375
1677,control,108,55.875
1677,control,109,55.2083
1677,control,110,55.5
1677,control,111,55.875
1677,control,112,55.5
1677,control,113,54.625
1677,control,114,53.7083
1677,control,115,52.7917
1677,control,116,52.0833
1677,control,117,50.875
1677,control,118,50.2083
1677,control,119,49.6667
1677,control,120,49.0833
1677,control,121,47.6667
1677,control,122,45.7917
1677,control,123,44.4583
1677,control,124,43.9583
1677,control,125,43.4583
1677,control,126,42.4583
1677,control,127,40.7083
1677,control,128,39.5833
1677,control,129,38.875
1677,control,130,38.8333
1677,control,131,39.375
1677,control,132,38.9583
1677,control,133,38.0417
1677,control,134,36.9583
1677,control,135,36.375
1677,control,136,36.1667
1677,control,137,35.8333
1677,control,138,35.25
1677,control,139,34.75
1677,control,140,34.5417
1677,control,141,34.4583
1679,control,0,31.6364
1679,control,1,33.0455
1679,control,2,34.3636
1679,control,3,34.6364
1679,control,4,34.8636
1679,control,5,34.0455
1679,control,6,34.3182
1679,control,7,34.7727
1679,control,8,35.6364
1679,control,9,35.9091
1679,control,10,36.2727
1679,control,11,36.5
1679,control,12,36.8182
1679,control,13,37.8636
1679,control,14,38.9545
1679,control,15,40.3636
1679,control,16,41.8636
1679,control,17,43
1679,control,18,42.8182
1679,control,19,41.7273
1679,control,20,41.9091
1679,control,21,42.8182
1679,control,22,43.9545
1679,control,23,45.5909
1679,control,24,47.6818
1679,control,25,49.6364
1679,control,26,51.1364
1679,control,27,52.2727
1679,control,28,52.1364
1679,control,29,51.1818
1679,control,30,50.6364
1679,control,31,51.1818
1679,control,32,51.9545
1679,control,33,51.3636
1679,control,34,52.4091
1679,control,35,55
1679,control,36,59.0909
1679,control,37,63
1679,control,38,66.0909
1679,control,39,69.5
1679,control,40,72.2727
1679,control,41,74.6818
1679,control,42,76.5455
1679,control,43,79.3636
1679,control,44,84
1679,control,45,88.2273
1679,control,46,91.3636
1679,control,47,94.2727
1679,control,48,96.4091
1679,control,49,96.9545
1679,control,50,96.7727
1679,control,51,97.0909
1679,control,52,96.9545
1679,control,53,96.4091
1679,control,54,95.7727
1679,control,55,95.9545
1679,control,56,96.1818
1679,control,57,96.4545
1679,control,58,96.2727
1679,control,59,96.9091
1679,control,60,97.9545
1679,control,61,98.9091
1679,control,62,99.1818
1679,control,63,99.2727
1679,control,64,100
1679,control,65,100.3182
1679,control,66,101
1679,control,67,102
1679,control,68,102.9545
1679,control,69,102.7727
1679,control,70,102.0455
1679,control,71,101.8636
1679,control,72,101.8636
1679,control,73,101.9091
1679,control,74,102.9545
1679,control,75,103.3182
1679,control,76,103.5909
1679,control,77,103.3636
1679,control,78,101.7273
1679,control,79,100.1818
1679,control,80,99.8636
1679,control,81,98.5909
1679,control,82,97.1364
1679,control,83,96.0455
1679,control,84,96.0455
1679,control,85,96.6818
1679,control,86,95.9545
1679,control,87,94.8636
1679,control,88,94.0455
1679,control,89,94.1818
1679,control,90,93.5909
1679,control,91,93.1364
1679,control,92,92.1364
1679,control,93,91.4091
1679,control,94,89.8636
1679,control,95,86.8636
1679,control,96,82.6818
1679,control,97,78.0909
1679,control,98,73.6818
1679,control,99,69.7727
1679,control,100,67.5
1679,control,101,67.5455
1679,control,102,68.5
1679,control,103,69.0455
1679,control,104,69.4545
1679,control,105,69.1818
1679,control,106,68
1679,control,107,66.1818
1679,control,108,63.5455
1679,control,109,60.4091
1679,control,110,57.2727
1679,control,111,55.8636
1679,control,112,56.0455
1679,control,113,56.8636
1679,control,114,57.5
1679,control,115,57.9091
1679,control,116,57.6364
1679,control,117,57.9545
1679,control,118,57.4091
1679,control,119,55.7273
1679,control,120,53.5
1679,control,121,50.9545
1679,control,122,48.8636
1679,control,123,47
1679,control,124,44.5455
1679,control,125,41.7273
1679,control,126,39.2273
1679,control,127,37.9091
1679,control,128,37
1679,control,129,36.0909
1679,control,130,35.5455
1679,control,131,35.3182
1679,control,132,35.2727
1679,control,133,34.7727
1679,control,134,33.7727
1679,control,135,32.9091
1679,control,136,32.1364
1679,control,137,31.5
1680,control,0,32.3793
1680,control,1,32.6207
1680,control,2,33.2069
1680,control,3,33.8621
1680,control,4,34.3103
1680,control,5,34.3103
1680,control,6,34.5172
1680,control,7,35.069
1680,control,8,36.3103
1680,control,9,38.1724
1680,control,10,39.7241
1680,control,11,40.8276
1680,control,12,41.2759
1680,control,13,42.3793
1680,control,14,43.5862
1680,control,15,44.4828
1680,control,16,45.2414
1680,control,17,46.6552
1680,control,18,47.7931
1680,control,19,49.2069
1680,control,20,50.7586
1680,control,21,52.4138
1680,control,22,54.6552
1680,control,23,55.7241
1680,control,24,55.8621
1680,control,25,56.6207
1680,control,26,58.1724
1680,control,27,58
1680,control,28,56.9655
1680,control,29,55.5517
1680,control,30,54.8621
1680,control,31,56.1379
1680,control,32,57.6207
1680,control,33,58.069
1680,control,34,57.4828
1680,control,35,57.6207
1680,control,36,59.1379
1680,control,37,61.4483
1680,control,38,63.1379
1680,control,39,64.4138
1680,control,40,65.9655
1680,control,41,68.069
1680,control,42,71.2759
1680,control,43,74.6207
1680,control,44,79.2069
1680,control,45,82.2759
1680,control,46,84.931
1680,control,47,91.1034
1680,control,48,94.2759
1680,control,49,96.4483
1680,control,50,97.3103
1680,control,51,94.5172
1680,control,52,92.1724
1680,control,53,91.4483
1680,control,54,92.7931
1680,control,55,93.6552
1680,control,56,94.7241
1680,control,57,94.7241
1680,control,58,95.5862
1680,control,59,97.8966
1680,control,60,99.3793
1680,control,61,99.3793
1680,control,62,100.3793
1680,control,63,102.7241
1680,control,64,105.2069
1680,control,65,105.1724
1680,control,66,105.069
1680,control,67,104
1680,control,68,104.4138
1680,control,69,103.9655
1680,control,70,103.1034
1680,control,71,102.8276
1680,control,72,104.4138
1680,control,73,106.2069
1680,control,74,107.1379
1680,control,75,107.8621
1680,control,76,108.2069
1680,control,77,108.6552
1680,control,78,108.5172
1680,control,79,107.5517
1680,control,80,106.069
1680,control,81,104.8276
1680,control,82,103.5517
1680,control,83,103.4483
1680,control,84,104.3448
1680,control,85,105.2414
1680,control,86,106.0345
1680,control,87,105.4828
1680,control,88,104.0345
1680,control,89,103.7931
1680,control,90,103.4483
1680,control,91,102.1379
1680,control,92,100.2414
1680,control,93,98.2759
1680,control,94,97.2069
1680,control,95,96.2069
1680,control,96,95.2414
1680,control,97,93.1724
1680,control,98,90.3448
1680,control,99,87.5517
1680,control,100,83.931
1680,control,101,80.1034
1680,control,102,78.1034
1680,control,103,77.8276
1680,control,104,76.8621
1680,control,105,74.8966
1680,control,106,73.1724
1680,control,107,71.6207
1680,control,108,69.6897
1680,control,109,67.6552
1680,control,110,66.1379
1680,control,111,64.3448
1680,control,112,62.1034
1680,control,113,60.3793
1680,control,114,59.4828
1680,control,115,59.1034
1680,control,116,59.1724
1680,control,117,58.7931
1680,control,118,57.8621
1680,control,119,56.7586
1680,control,120,55.5862
1680,control,121,54.7241
1680,control,122,54.0345
1680,control,123,53.3448
1680,control,124,53.3103
1680,control,125,53.2069
1680,control,126,52.2414
1680,control,127,51.0345
1680,control,128,50.4483
1680,control,129,50.0345
1680,control,130,49.4828
1680,control,131,49.4828
1680,control,132,49.0345
1680,control,133,48.6552
1680,control,134,48.2759
1680,control,135,47.5862
1680,control,136,46.3103
1680,control,137,45.4483
1680,control,138,45.2759
1680,control,139,45.0345
1680,control,140,44.5517
1680,control,141,44
1680,control,142,43.7241
1680,control,143,44
1680,control,144,44
1680,control,145,43.0345
1680,control,146,41.1034
1680,control,147,40.1034
1680,control,148,40.3103
1680,control,149,40.0345
1680,control,150,39.3448
1680,control,151,38.7931
1680,control,152,38.2414
1680,control,153,37.4483
1680,control,154,36.6897
1680,control,155,36.1034
1680,control,156,35.3448
1680,control,157,34.8276
1680,control,158,34.5862
1680,control,159,34.2759
1681,control,0,31.0345
1681,control,1,31.3448
1681,control,2,31.7586
1681,control,3,32
1681,control,4,32.2414
1681,control,5,33.1724
1681,control,6,34.069
1681,control,7,34.7586
1681,control,8,35.069
1681,control,9,35.1724
1681,control,10,34.6552
1681,control,11,34.7241
1681,control,12,35.069
1681,control,13,35.8276
1681,control,14,36.2414
1681,control,15,36.4138
1681,control,16,36.931
1681,control,17,38.2069
1681,control,18,38.6552
1681,control,19,38.3103
1681,control,20,37.5172
1681,control,21,37.3103
1681,control,22,37.6552
1681,control,23,38.1034
1681,control,24,38.8276
1681,control,25,39.8621
1681,control,26,40.6552
1681,control,27,41
1681,control,28,41.2414
1681,control,29,41.8966
1681,control,30,42.8276
1681,control,31,43.8276
1681,control,32,43.7931
1681,control,33,43.3793
1681,control,34,43.5172
1681,control,35,43.8276
1681,control,36,44.4138
1681,control,37,45.069
1681,control,38,45.7931
1681,control,39,46.4828
1681,control,40,46.5862
1681,control,41,46.6552
1681,control,42,47
1681,control,43,47.5517
1681,control,44,47.5862
1681,control,45,47.5862
1681,control,46,47.6207
1681,control,47,48.3448
1681,control,48,50.069
1681,control,49,52.3448
1681,control,50,54.5862
1681,control,51,56.2069
1681,control,52,57
1681,control,53,57.7586
1681,control,54,59.1034
1681,control,55,60.8621
1681,control,56,63.2069
1681,control,57,65.6552
1681,control,58,68.7586
1681,control,59,70.6552
1681,control,60,70.931
1681,control,61,70.3448
1681,control,62,70.0345
1681,control,63,70.1034
1681,control,64,70.7241
1681,control,65,71.3448
1681,control,66,72.1724
1681,control,67,73.1034
1681,control,68,73.3448
1681,control,69,73.5862
1681,control,70,74.0345
1681,control,71,74.1379
1681,control,72,74.1034
1681,control,73,74.1034
1681,control,74,74.3448
1681,control,75,74.5172
1681,control,76,74.7586
1681,control,77,74.2759
1681,control,78,73.4138
1681,control,79,72.7241
1681,control,80,71.8621
1681,control,81,71.7586
1681,control,82,71.3103
1681,control,83,70.1379
1681,control,84,68.7586
1681,control,85,67.6897
1681,control,86,66.5172
1681,control,87,65.3103
1681,control,88,63.8276
1681,control,89,61.8966
1681,control,90,60.4138
1681,control,91,59.5862
1681,control,92,57.7241
1681,control,93,55.2414
1681,control,94,52.7931
1681,control,95,50.7586
1681,control,96,49.4828
1681,control,97,47.7586
1681,control,98,46.4483
1681,control,99,46.5172
1681,control,100,46.931
1681,control,101,46.8621
1681,control,102,47
1681,control,103,47
1681,control,104,46.7586
1681,control,105,46.4138
1681,control,106,45.4483
1681,control,107,43.8276
1681,control,108,42.4828
1681,control,109,41.3448
1681,control,110,40.9655
1681,control,111,40.9655
1681,control,112,41.4138
1681,control,113,42.2069
1681,control,114,42
1681,control,115,41.0345
1681,control,116,39.4138
1681,control,117,38
1681,control,118,37.6207
1681,control,119,38.3103
1681,control,120,38.3448
1681,control,121,38.3793
1681,control,122,38.1724
1681,control,123,37.3793
1681,control,124,36.6552
1681,control,125,35.8966
1681,control,126,35.5172
1681,control,127,35.6207
1681,control,128,35.2759
1681,control,129,34.6552
1681,control,130,34.6552
1681,control,131,35.0345
1681,control,132,35.069
1681,control,133,34.2759
1681,control,134,33.2069
1681,control,135,32.2414
1681,control,136,31.4483
1681,control,137,30.7586
1681,control,138,29.8966
1681,control,139,29.2759
1682,control,0,26.4737
1682,control,1,27.5
1682,control,2,28.8684
1682,control,3,29.7368
1682,control,4,30.5789
1682,control,5,31.2105
1682,control,6,31.5526
1682,control,7,31.9474
1682,control,8,32.6053
1682,control,9,33.8684
1682,control,10,35.3158
1682,control,11,36.2632
1682,control,12,37.0789
1682,control,13,38.2895
1682,control,14,39
1682,control,15,38.8947
1682,control,16,38.7368
1682,control,17,39.2895
1682,control,18,40.2368
1682,control,19,40.8158
1682,control,20,40.7368
1682,control,21,40.3421
1682,control,22,40.5
1682,control,23,41.2368
1682,control,24,41.6316
1682,control,25,42.3158
1682,control,26,43.0263
1682,control,27,43.6316
1682,control,28,44
1682,control,29,44.5789
1682,control,30,44.9211
1682,control,31,44.9474
1682,control,32,44.8947
1682,control,33,45.0789
1682,control,34,45.6842
1682,control,35,46.3421
1682,control,36,47.1316
1682,control,37,48.3421
1682,control,38,49.9474
1682,control,39,51.2105
1682,control,40,52.3158
1682,control,41,53.3421
1682,control,42,54.2105
1682,control,43,55.5263
1682,control,44,57.3421
1682,control,45,58.9474
1682,control,46,60.6579
1682,control,47,61.8421
1682,control,48,62.8947
1682,control,49,63.8947
1682,control,50,65.4211
1682,control,51,66.5526
1682,control,52,66.7105
1682,control,53,66.6053
1682,control,54,66.7368
1682,control,55,66.4474
1682,control,56,65.8947
1682,control,57,65.6316
1682,control,58,65.2368
1682,control,59,64.6579
1682,control,60,64.3158
1682,control,61,64.1842
1682,control,62,64.3421
1682,control,63,64.0789
1682,control,64,63.6053
1682,control,65,63.1053
1682,control,66,62.5
1682,control,67,62.1053
1682,control,68,62.0789
1682,control,69,62.4474
1682,control,70,62.8684
1682,control,71,63.5789
1682,control,72,64.4737
1682,control,73,65.4211
1682,control,74,66.3947
1682,control,75,67.2368
1682,control,76,67.6842
1682,control,77,67.6053
1682,control,78,67.3421
1682,control,79,66.5789
1682,control,80,65.5789
1682,control,81,64.5526
1682,control,82,64.3421
1682,control,83,63.9474
1682,control,84,62.6053
1682,control,85,60.3158
1682,control,86,58.8158
1682,control,87,58.0789
1682,control,88,56.6316
1682,control,89,55.1316
1682,control,90,53.4211
1682,control,91,51.6842
1682,control,92,49.7368
1682,control,93,48.2895
1682,control,94,47.6842
1682,control,95,47.1316
1682,control,96,46.8158
1682,control,97,46.0526
1682,control,98,44.7632
1682,control,99,42.9474
1682,control,100,41.0263
1682,control,101,39.3947
1682,control,102,38.4211
1682,control,103,37.8947
1682,control,104,37.7632
1682,control,105,37.6842
1682,control,106,38
1682,control,107,37.8158
1682,control,108,37.4474
1682,control,109,36.9737
1682,control,110,36.5789
1682,control,111,36.0526
1682,control,112,35.5526
1682,control,113,35.4737
1682,control,114,35.2105
1682,control,115,34.5263
1682,control,116,33.8158
1682,control,117,33.3421
1682,control,118,33.3947
1682,control,119,33.4211
1682,control,120,32.6053
1682,control,121,31.4211
1682,control,122,29.8947
1682,control,123,28.1053
1682,control,124,27.2105
1682,control,125,26.6842
1683,control,0,31.5238
1683,control,1,32.7143
1683,control,2,34.381
1683,control,3,36.2381
1683,control,4,37.4762
1683,control,5,37.619
1683,control,6,37.5714
1683,control,7,37.5238
1683,control,8,37.7143
1683,control,9,38.1905
1683,control,10,37.8095
1683,control,11,36.9048
1683,control,12,37.4286
1683,control,13,39.2857
1683,control,14,41
1683,control,15,41.3333
1683,control,16,40.9524
1683,control,17,41.1429
1683,control,18,41.8571
1683,control,19,43.5714
1683,control,20,45.3333
1683,control,21,46.5714
1683,control,22,47.1905
1683,control,23,47
1683,control,24,47.0952
1683,control,25,48.2381
1683,control,26,50.3333
1683,control,27,53.2857
1683,control,28,57
1683,control,29,60.8095
1683,control,30,64.1429
1683,control,31,66.3333
1683,control,32,67.4762
1683,control,33,67.7143
1683,control,34,68.2857
1683,control,35,68.4762
1683,control,36,67.8571
1683,control,37,67.5238
1683,control,38,66.7619
1683,control,39,66.1905
1683,control,40,66.7143
1683,control,41,68.4286
1683,control,42,70.8571
1683,control,43,73.4286
1683,control,44,75.619
1683,control,45,77.5238
1683,control,46,79.5238
1683,control,47,81.0952
1683,control,48,82.5714
1683,control,49,83.2857
1683,control,50,83.5714
1683,control,51,83.7143
1683,control,52,84.381
1683,control,53,86.0476
1683,control,54,88.4762
1683,control,55,90.619
1683,control,56,91.1429
1683,control,57,91.0952
1683,control,58,90.9048
1683,control,59,90.381
1683,control,60,89.8095
1683,control,61,89
1683,control,62,87.9048
1683,control,63,86.0952
1683,control,64,84.2381
1683,control,65,81.381
1683,control,66,77.4762
1683,control,67,74.0952
1683,control,68,71.7619
1683,control,69,69.8095
1683,control,70,67.8571
1683,control,71,67.0476
1683,control,72,67.0476
1683,control,73,67.5238
1683,control,74,67.6667
1683,control,75,67.1905
1683,control,76,65.2381
1683,control,77,61.0476
1683,control,78,57.0476
1683,control,79,54.1905
1683,control,80,51.8571
1683,control,81,49.8571
1683,control,82,48.5714
1683,control,83,47.7619
1683,control,84,47.7619
1683,control,85,47.5714
1683,control,86,47.0952
1683,control,87,46.3333
1683,control,88,44.8095
1683,control,89,43.7619
1683,control,90,43.1905
1683,control,91,42.6667
1683,control,92,42.7619
1683,control,93,43
1683,control,94,43.5238
1683,control,95,43.7619
1683,control,96,44.1905
1683,control,97,44.4762
1683,control,98,44.0952
1683,control,99,43.3333
1683,control,100,42.5238
1683,control,101,41.7619
1683,control,102,41.1905
1683,control,103,40.619
1683,control,104,40
1683,control,105,38.8571
1683,control,106,37.2857
1683,control,107,35.7143
1685,control,0,33.8095
1685,control,1,34.2857
1685,control,2,36.4286
1685,control,3,39.2381
1685,control,4,41.5238
1685,control,5,43.0952
1685,control,6,43.619
1685,control,7,44.0476
1685,control,8,44.3333
1685,control,9,44.3333
1685,control,10,43.381
1685,control,11,42.9524
1685,control,12,43.619
1685,control,13,44.7143
1685,control,14,46.0952
1685,control,15,47
1685,control,16,48.1429
1685,control,17,49.7619
1685,control,18,50.9048
1685,control,19,51.8095
1685,control,20,52.619
1685,control,21,53.3333
1685,control,22,54.7143
1685,control,23,56.3333
1685,control,24,56.9048
1685,control,25,57.8571
1685,control,26,60.1429
1685,control,27,63.0952
1685,control,28,65.1429
1685,control,29,66.7143
1685,control,30,69
1685,control,31,71.8095
1685,control,32,73.8571
1685,control,33,75.1905
1685,control,34,75.8571
1685,control,35,76.3333
1685,control,36,77.7143
1685,control,37,80.0476
1685,control,38,82.0476
1685,control,39,84.3333
1685,control,40,86.4286
1685,control,41,88.1429
1685,control,42,89.7143
1685,control,43,91.381
1685,control,44,92.0952
1685,control,45,92.9048
1685,control,46,94.5714
1685,control,47,96.0952
1685,control,48,98.0476
1685,control,49,99.4762
1685,control,50,100.5714
1685,control,51,101.9048
1685,control,52,103.0952
1685,control,53,104.0476
1685,control,54,104.5714
1685,control,55,104.7619
1685,control,56,104.8571
1685,control,57,105.3333
1685,control,58,105.8095
1685,control,59,106.0476
1685,control,60,106.1429
1685,control,61,105.4762
1685,control,62,104.381
1685,control,63,103.0476
1685,control,64,101.4762
1685,control,65,99.9524
1685,control,66,98.7143
1685,control,67,97.8095
1685,control,68,97.381
1685,control,69,96.9524
1685,control,70,96.3333
1685,control,71,96.0952
1685,control,72,95.381
1685,control,73,94.5714
1685,control,74,93.7619
1685,control,75,92.9048
1685,control,76,91.1905
1685,control,77,89.5238
1685,control,78,88.3333
1685,control,79,87.0476
1685,control,80,86.1429
1685,control,81,84.6667
1685,control,82,82.5714
1685,control,83,79.5714
1685,control,84,76.6667
1685,control,85,74.381
1685,control,86,72.1905
1685,control,87,70.0476
1685,control,88,68.381
1685,control,89,66.1905
1685,control,90,64.5714
1685,control,91,62.9048
1685,control,92,60.8571
1685,control,93,59.5714
1685,control,94,58.8095
1685,control,95,57.6667
1685,control,96,56.5238
1685,control,97,55.0476
1685,control,98,53.9048
1685,control,99,53.2381
1685,control,100,52.7143
1685,control,101,51.4762
1685,control,102,50.0476
1685,control,103,48.2857
1685,control,104,47.1905
1685,control,105,45.8095
1685,control,106,43.9524
1685,control,107,42.7143
1685,control,108,41.4286
1685,control,109,38.9048
1685,control,110,36.619
1685,control,111,35.6667
1686,control,0,22.6957
1686,control,1,24.4348
1686,control,2,25.6957
1686,control,3,27.3043
1686,control,4,28.7391
1686,control,5,30.8261
1686,control,6,33.9565
1686,control,7,38.1739
1686,control,8,42
1686,control,9,44.7391
1686,control,10,47.0435
1686,control,11,48.6087
1686,control,12,49.6522
1686,control,13,49.5652
1686,control,14,48.7391
1686,control,15,49.5217
1686,control,16,50.7391
1686,control,17,51.3043
1686,control,18,50.9565
1686,control,19,50.9565
1686,control,20,50.913
1686,control,21,51.087
1686,control,22,50.5217
1686,control,23,49.4348
1686,control,24,49.0435
1686,control,25,49.4783
1686,control,26,50.3478
1686,control,27,52.913
1686,control,28,55.3478
1686,control,29,56.1304
1686,control,30,56.6522
1686,control,31,59.087
1686,control,32,65.3043
1686,control,33,72.3043
1686,control,34,76.7826
1686,control,35,80
1686,control,36,83.8261
1686,control,37,87.1739
