ID,group,Bin,AvgGrayValue,factorBin,Treatment
1562,bacteria,1,37.75247,1,ground
1562,bacteria,2,88.56197,2,ground
1562,bacteria,3,84.65025,3,ground
1562,bacteria,4,33.72533,4,ground
1566,bacteria,1,35.98571,1,ground
1566,bacteria,2,80.33571,2,ground
1566,bacteria,3,78.00143,3,ground
1566,bacteria,4,32.95,4,ground
1567,bacteria,1,36.15833,1,ground
1567,bacteria,2,80.85521,2,ground
1567,bacteria,3,86.13958,3,ground
1567,bacteria,4,36.09793,4,ground
1568,bacteria,1,42.13289,1,ground
1568,bacteria,2,87.13658,2,ground
1568,bacteria,3,79.03394,3,ground
1568,bacteria,4,39.94595,4,ground
1569,bacteria,1,35.66202,1,ground
1569,bacteria,2,77.12921,2,ground
1569,bacteria,3,74.45374,3,ground
1569,bacteria,4,30.18398,4,ground
1570,bacteria,1,40.65058,1,ground
1570,bacteria,2,80.97169,2,ground
1570,bacteria,3,82.92149,3,ground
1570,bacteria,4,43.0045,4,ground
1571,bacteria,1,44.56467,1,ground
1571,bacteria,2,84.04564,2,ground
1571,bacteria,3,101.63889,3,ground
1571,bacteria,4,45.57434,4,ground
1572,bacteria,1,40.92278,1,ground
1572,bacteria,2,85.28889,2,ground
1572,bacteria,3,85.69334,3,ground
1572,bacteria,4,40.055,4,ground
1573,bacteria,1,34.06609,1,ground
1573,bacteria,2,59.77012,2,ground
1573,bacteria,3,58.27299,3,ground
1573,bacteria,4,35.78305,4,ground
1574,bacteria,1,23.07739,1,ground
1574,bacteria,2,53.15926,2,ground
1574,bacteria,3,49.7605,3,ground
1574,bacteria,4,23.75595,4,ground
1575,bacteria,1,34.19942,1,ground
1575,bacteria,2,84.48794,2,ground
1575,bacteria,3,80.86925,3,ground
1575,bacteria,4,28.89774,4,ground
1576,bacteria,1,37.60388,1,ground
1576,bacteria,2,87.18976,2,ground
1576,bacteria,3,72.73684,3,ground
1576,bacteria,4,33.40166,4,ground
1577,bacteria,1,33.675,1,ground
1577,bacteria,2,70.14091,2,ground
1577,bacteria,3,77.48258,3,ground
1577,bacteria,4,38.13788,4,ground
1578,bacteria,1,35.64843,1,ground
1578,bacteria,2,80.9094,2,ground
1578,bacteria,3,68.26894,3,ground
1578,bacteria,4,28.6832,4,ground
1580,control,1,44.42106,1,ground
1580,control,2,91.06315,2,ground
1580,control,3,81.9171,3,ground
1580,control,4,43.49342,4,ground
1581,control,1,33.72069,1,ground
1581,control,2,71.05238,2,ground
1581,control,3,74.23453,3,ground
1581,control,4,34.03104,4,ground
1582,control,1,35.85948,1,ground
1582,control,2,82.16667,2,ground
1582,control,3,86.34395,3,ground
1582,control,4,41.31046,4,ground
1583,control,1,46.73656,1,ground
1583,control,2,88.98252,2,ground
1583,control,3,83.85485,3,ground
1583,control,4,43.15054,4,ground
1585,control,1,36.04184,1,ground
1585,control,2,78.38979,2,ground
1585,control,3,88.37858,3,ground
1585,control,4,41.75409,4,ground
1586,control,1,35.17332,1,ground
1586,control,2,75.56602,2,ground
1586,control,3,81.88312,3,ground
1586,control,4,36.17541,4,ground
1587,control,1,35.29907,1,ground
1587,control,2,62.68982,2,ground
1587,control,3,79.36759,3,ground
1587,control,4,42.33426,4,ground
1588,control,1,37.50446,1,ground
1588,control,2,77.94764,2,ground
1588,control,3,76.99616,3,ground
1588,control,4,44.65389,4,ground
1589,control,1,28.9131,1,ground
1589,control,2,65.7353,2,ground
1589,control,3,61.98285,3,ground
1589,control,4,29.88095,4,ground
1590,control,1,62.59376,1,ground
1590,control,2,82.65047,2,ground
1590,control,3,85.81597,3,ground
1590,control,4,61.55692,4,ground
1591,control,1,39.29032,1,ground
1591,control,2,63.99333,2,ground
1591,control,3,60.87333,3,ground
1591,control,4,35.6629,4,ground
1592,control,1,44.53507,1,ground
1592,control,2,90.46492,2,ground
1592,control,3,85.29847,3,ground
1592,control,4,40.67538,4,ground
1593,control,1,39.61498,1,ground
1593,control,2,94.53443,2,ground
1593,control,3,78.10469,3,ground
1593,control,4,38.70231,4,ground
1594,control,1,31.40989,1,ground
1594,control,2,80.8878,2,ground
1594,control,3,66.45864,3,ground
1594,control,4,28.35327,4,ground
1596,control,1,39.43875,1,ground
1596,control,2,75.15862,2,ground
1596,control,3,82.00512,3,ground
1596,control,4,39.36609,4,ground
1597,control,1,39.84465,1,ground
1597,control,2,82.11991,2,ground
1597,control,3,76.70966,3,ground
1597,control,4,34.67497,4,ground
1598,control,1,38.93143,1,ground
1598,control,2,71.6996,2,ground
1598,control,3,66.81388,3,ground
1598,control,4,35.00735,4,ground
1599,control,1,40.70625,1,ground
1599,control,2,82.25583,2,ground
