ID,group,distance,intensity
1580,control,0,32.1053
1580,control,1,32.4211
1580,control,2,33.4737
1580,control,3,34.4737
1580,control,4,35.3421
1580,control,5,35.7895
1580,control,6,36.4474
1580,control,7,36.9474
1580,control,8,37.0263
1580,control,9,36.8684
1580,control,10,37.0789
1580,control,11,37.3947
1580,control,12,37.8158
1580,control,13,38.5789
1580,control,14,39.3684
1580,control,15,39.7105
1580,control,16,40.3421
1580,control,17,41.4474
1580,control,18,42.5263
1580,control,19,43.1053
1580,control,20,43.8421
1580,control,21,44.6579
1580,control,22,44.9737
1580,control,23,45.2632
1580,control,24,46.1053
1580,control,25,47.0789
1580,control,26,48.2105
1580,control,27,49.2105
1580,control,28,49.9474
1580,control,29,50.6316
1580,control,30,50.8421
1580,control,31,51.5789
1580,control,32,52.2632
1580,control,33,53.2632
1580,control,34,54.2105
1580,control,35,55.5
1580,control,36,57.4737
1580,control,37,59.2368
1580,control,38,61.1579
1580,control,39,63.1316
1580,control,40,65.3947
1580,control,41,67.9737
1580,control,42,69.7368
1580,control,43,71.3158
1580,control,44,73.3947
1580,control,45,75.1316
1580,control,46,76.6053
1580,control,47,78.2895
1580,control,48,80.3421
1580,control,49,82.6316
1580,control,50,84.6579
1580,control,51,86.2368
1580,control,52,87.2895
1580,control,53,88.7895
1580,control,54,90.5789
1580,control,55,91.8421
1580,control,56,92.9211
1580,control,57,93.5789
1580,control,58,94.1579
1580,control,59,94.5
1580,control,60,94.5789
1580,control,61,94.7105
1580,control,62,95.6316
1580,control,63,96.5789
1580,control,64,97.4737
1580,control,65,98.9474
1580,control,66,100.9737
1580,control,67,103.0526
1580,control,68,104.0526
1580,control,69,103.8684
1580,control,70,103.6316
1580,control,71,103.3421
1580,control,72,102.4474
1580,control,73,101.4474
1580,control,74,100.5789
1580,control,75,99.7105
1580,control,76,99.1842
1580,control,77,99.1842
1580,control,78,99
1580,control,79,98.7632
1580,control,80,98.7368
1580,control,81,98.5
1580,control,82,98.3684
1580,control,83,97.6316
1580,control,84,96.8421
1580,control,85,96.6053
1580,control,86,96.5263
1580,control,87,96.1579
1580,control,88,95.6316
1580,control,89,94.9211
1580,control,90,93.8421
1580,control,91,92.3158
1580,control,92,90.6316
1580,control,93,89.4211
1580,control,94,88.0263
1580,control,95,86.4737
1580,control,96,84.4211
1580,control,97,82.5526
1580,control,98,81.6842
1580,control,99,81.7105
1580,control,100,81.9737
1580,control,101,81.6842
1580,control,102,80.3421
1580,control,103,79.3947
1580,control,104,78.5263
1580,control,105,77.8421
1580,control,106,76.8947
1580,control,107,75.5789
1580,control,108,73.8947
1580,control,109,72.4211
1580,control,110,70.1579
1580,control,111,68.5263
1580,control,112,67.8158
1580,control,113,66.7632
1580,control,114,65.8684
1580,control,115,65.7105
1580,control,116,65.1842
1580,control,117,63.7368
1580,control,118,62.3158
1580,control,119,61.0526
1580,control,120,60.4737
1580,control,121,59.6053
1580,control,122,58.3421
1580,control,123,56.3158
1580,control,124,53.8421
1580,control,125,52.1053
1580,control,126,51
1580,control,127,49.5789
1580,control,128,48.8947
1580,control,129,49.3684
1580,control,130,49.7632
1580,control,131,49.7368
1580,control,132,49.5263
1580,control,133,48.4737
1580,control,134,47.0526
1580,control,135,45.8947
1580,control,136,45.3158
1580,control,137,44.6316
1580,control,138,43.3158
1580,control,139,42.4737
1580,control,140,41.7105
1580,control,141,40.7632
1580,control,142,40.5526
1580,control,143,40.7105
1580,control,144,41.2632
1580,control,145,40.4211
1580,control,146,39.1579
1580,control,147,38.0789
1580,control,148,37.4211
1580,control,149,36.8947
1580,control,150,36.6053
1580,control,151,35.8684
1580,control,152,35.0789
1580,control,153,34.4737
1580,control,154,33.5789
1580,control,155,33.0526
1580,control,156,32.6316
1580,control,157,32.2105
1580,control,158,31.9211
1580,control,159,31.6316
1581,control,0,28.4
1581,control,1,28.3667
1581,control,2,28.2
1581,control,3,28.5
1581,control,4,28.9
1581,control,5,29.6333
1581,control,6,29.9
1581,control,7,30
1581,control,8,30.2333
1581,control,9,30.5333
1581,control,10,31.1
1581,control,11,31.2
1581,control,12,31.9333
1581,control,13,32.8667
1581,control,14,33.9333
1581,control,15,34.4
1581,control,16,34.8667
1581,control,17,35.2
1581,control,18,35.5333
1581,control,19,36.1667
1581,control,20,36.3
1581,control,21,36.4333
1581,control,22,36.7667
1581,control,23,37.6667
1581,control,24,38.8333
1581,control,25,39.7333
1581,control,26,39.7
1581,control,27,40.4
1581,control,28,42.2
1581,control,29,44.4667
1581,control,30,46.4667
1581,control,31,47.8333
1581,control,32,48.8667
1581,control,33,50.1333
1581,control,34,52.2
1581,control,35,54.0667
1581,control,36,55.7
1581,control,37,57.3667
1581,control,38,59.2333
1581,control,39,61.2667
1581,control,40,63.3667
1581,control,41,65.4
1581,control,42,67.5333
1581,control,43,70.2667
1581,control,44,72.2
1581,control,45,73.5667
1581,control,46,74.9667
1581,control,47,77.3333
1581,control,48,80.9
1581,control,49,85.7333
1581,control,50,88.5333
1581,control,51,89.7333
1581,control,52,92.2333
1581,control,53,96.1667
1581,control,54,101.2333
1581,control,55,105.5667
1581,control,56,107.1333
1581,control,57,105.8
1581,control,58,104.4667
1581,control,59,102.3
1581,control,60,98.6667
1581,control,61,96.5
1581,control,62,95.6667
1581,control,63,95.3
1581,control,64,94.9667
1581,control,65,92.9
1581,control,66,89
1581,control,67,84.5333
1581,control,68,79.6
1581,control,69,75.6333
1581,control,70,72.5333
1581,control,71,69.5667
1581,control,72,66.7667
1581,control,73,64.0667
1581,control,74,61.4
1581,control,75,59.6
1581,control,76,58.2
1581,control,77,56.1333
1581,control,78,54.4
1581,control,79,53.2
1581,control,80,52.0667
1581,control,81,50.8
1581,control,82,49.6667
1581,control,83,48.2333
1581,control,84,46.6
1581,control,85,45.0333
1581,control,86,43.8667
1581,control,87,42.3333
1581,control,88,41.1667
1581,control,89,39.8333
1581,control,90,39.1
1581,control,91,38.8
1581,control,92,37.4
1581,control,93,35.5
1581,control,94,34.4
1581,control,95,34.2
1581,control,96,34.2667
1581,control,97,33.4667
1581,control,98,32.7333
1581,control,99,32.6667
1581,control,100,32.6667
1581,control,101,32.3667
1581,control,102,31.6333
1581,control,103,30.9667
1581,control,104,30.7
1581,control,105,30.2667
1581,control,106,30.1
1581,control,107,29.5333
1581,control,108,29.2333
1581,control,109,29.2
1581,control,110,29.2333
1581,control,111,29.1
1581,control,112,28.7667
1581,control,113,28.3667
1582,control,0,24.3824
1582,control,1,24.8824
1582,control,2,25.5882
1582,control,3,26.2353
1582,control,4,26.8235
1582,control,5,27.5
1582,control,6,28
1582,control,7,28.5588
1582,control,8,29
1582,control,9,29.3529
1582,control,10,29.7353
1582,control,11,30.1765
1582,control,12,31.1471
1582,control,13,31.9118
1582,control,14,32.4706
1582,control,15,32.7353
1582,control,16,33.0588
1582,control,17,33.6471
1582,control,18,34.1176
1582,control,19,34.7941
1582,control,20,35.6471
1582,control,21,36.2647
1582,control,22,37.0294
1582,control,23,37.9706
1582,control,24,39.6176
1582,control,25,41.2353
1582,control,26,42.3824
1582,control,27,42.6471
1582,control,28,43.1765
1582,control,29,45.0294
1582,control,30,46.8235
1582,control,31,48.4412
1582,control,32,49.4412
1582,control,33,49.7353
1582,control,34,50
1582,control,35,51.3824
1582,control,36,52.8235
1582,control,37,53.9412
1582,control,38,54.2353
1582,control,39,54.8529
1582,control,40,55.8824
1582,control,41,57.0588
1582,control,42,59.3235
1582,control,43,61.8235
1582,control,44,64.2647
1582,control,45,66.6471
1582,control,46,70.2647
1582,control,47,73.3824
1582,control,48,75.0294
1582,control,49,77.7647
1582,control,50,82.3235
1582,control,51,85.7941
1582,control,52,88.0882
1582,control,53,90.0294
1582,control,54,92
1582,control,55,93.2647
1582,control,56,94
1582,control,57,93.9412
1582,control,58,93.9412
1582,control,59,94.7647
1582,control,60,95.4412
1582,control,61,95.6765
1582,control,62,96.0882
1582,control,63,96.4706
1582,control,64,96.8824
1582,control,65,97.5294
1582,control,66,97.9706
1582,control,67,98.4118
1582,control,68,98.9706
1582,control,69,99.5294
1582,control,70,99.9412
1582,control,71,99.6471
1582,control,72,99.8529
1582,control,73,100.2059
1582,control,74,99.9706
1582,control,75,99.0588
1582,control,76,97.9118
1582,control,77,97.1765
1582,control,78,96.5882
1582,control,79,96
1582,control,80,95.4706
1582,control,81,95
1582,control,82,94.7647
1582,control,83,94.5
1582,control,84,93.8529
1582,control,85,93.7647
1582,control,86,93.4118
1582,control,87,92.0882
1582,control,88,90.7647
1582,control,89,89.8529
1582,control,90,89.6176
1582,control,91,88.9118
1582,control,92,88.7941
1582,control,93,88.5882
1582,control,94,87.1765
1582,control,95,84.9412
1582,control,96,82.5882
1582,control,97,81.1471
1582,control,98,79.1765
1582,control,99,76.5294
1582,control,100,73.8235
1582,control,101,71.5
1582,control,102,69.1176
1582,control,103,66.5
1582,control,104,65.5
1582,control,105,64.7059
1582,control,106,64.6471
1582,control,107,64.8824
1582,control,108,65.3824
1582,control,109,65
1582,control,110,64.4412
1582,control,111,63.3529
1582,control,112,59.9706
1582,control,113,56.0588
1582,control,114,52.9412
1582,control,115,50.6765
1582,control,116,48.3529
1582,control,117,46.3824
1582,control,118,45.6176
1582,control,119,45.1765
1582,control,120,44.8235
1582,control,121,43.3824
1582,control,122,41.5
1582,control,123,40.6765
1582,control,124,40.5
1582,control,125,40.2647
1582,control,126,39.8529
1582,control,127,38.7353
1582,control,128,37.4118
1582,control,129,35.7941
1582,control,130,34.7647
1582,control,131,34
1582,control,132,32.7647
1582,control,133,31.8529
1582,control,134,31.1471
1582,control,135,30.5588
1582,control,136,29.9412
1582,control,137,29.2353
1582,control,138,28.7941
1582,control,139,28.3824
1582,control,140,27.9118
1582,control,141,27.4118
1582,control,142,27.1765
1582,control,143,26.9412
1583,control,0,30.2917
