ID,Treatment,distance,intensity
1562,ground,0,20.4211
1562,ground,1,21.2105
1562,ground,2,22.3684
1562,ground,3,23.4474
1562,ground,4,23.9474
1562,ground,5,24.4211
1562,ground,6,24.7895
1562,ground,7,25.3947
1562,ground,8,25.6053
1562,ground,9,25.7895
1562,ground,10,26.9211
1562,ground,11,29.1053
1562,ground,12,32.0526
1562,ground,13,34.6842
1562,ground,14,36.6842
1562,ground,15,37.2368
1562,ground,16,36.2895
1562,ground,17,34.6842
1562,ground,18,33.7105
1562,ground,19,33.8158
1562,ground,20,33.4474
1562,ground,21,34.5263
1562,ground,22,39.0526
1562,ground,23,44.6316
1562,ground,24,49.5789
1562,ground,25,54.3684
1562,ground,26,59.9474
1562,ground,27,65.3158
1562,ground,28,68.0263
1562,ground,29,66.3947
1562,ground,30,61.9474
1562,ground,31,58.2632
1562,ground,32,58.3421
1562,ground,33,61.3421
1562,ground,34,65.7895
1562,ground,35,71.4474
1562,ground,36,77.2368
1562,ground,37,82.3421
1562,ground,38,84.8421
1562,ground,39,84.7105
1562,ground,40,82.6316
1562,ground,41,81.1316
1562,ground,42,81.4474
1562,ground,43,85.1053
1562,ground,44,90.2632
1562,ground,45,94.4474
1562,ground,46,96.9474
1562,ground,47,98.2632
1562,ground,48,99.1053
1562,ground,49,98.6053
1562,ground,50,97.6842
1562,ground,51,96.9737
1562,ground,52,96.0789
1562,ground,53,95.0789
1562,ground,54,94.1579
1562,ground,55,93.7368
1562,ground,56,93.9211
1562,ground,57,95.0789
1562,ground,58,96.4211
1562,ground,59,97.5789
1562,ground,60,97.9474
1562,ground,61,98.2368
1562,ground,62,98.5263
1562,ground,63,98.6316
1562,ground,64,97.5
1562,ground,65,95.6053
1562,ground,66,94.8947
1562,ground,67,95.4211
1562,ground,68,96.1842
1562,ground,69,96.5
1562,ground,70,96.3947
1562,ground,71,96.6053
1562,ground,72,96.9737
1562,ground,73,97.1316
1562,ground,74,97.3421
1562,ground,75,97.0789
1562,ground,76,96.2632
1562,ground,77,94.3158
1562,ground,78,91.0789
1562,ground,79,86.7368
1562,ground,80,82.6053
1562,ground,81,79.8684
1562,ground,82,79.3684
1562,ground,83,81.1316
1562,ground,84,81.6842
1562,ground,85,80.0526
1562,ground,86,78
1562,ground,87,75.6842
1562,ground,88,71.3421
1562,ground,89,65.2105
1562,ground,90,59.7895
1562,ground,91,55.8947
1562,ground,92,54.4737
1562,ground,93,54.3947
1562,ground,94,55.4737
1562,ground,95,56.0789
1562,ground,96,55.7895
1562,ground,97,54.1316
1562,ground,98,51.0789
1562,ground,99,47.1579
1562,ground,100,43.3158
1562,ground,101,39.3947
1562,ground,102,36.0263
1562,ground,103,33.8158
1562,ground,104,32.2895
1562,ground,105,31.2632
1562,ground,106,31.1842
1562,ground,107,31.5526
1562,ground,108,32.0526
1562,ground,109,32.3158
1562,ground,110,31.9211
1562,ground,111,31
1562,ground,112,30.1316
1562,ground,113,29.0263
1562,ground,114,28.0263
1562,ground,115,27.8684
1562,ground,116,28.1316
1562,ground,117,28.2632
1562,ground,118,27.2895
1562,ground,119,25.2105
1562,ground,120,23.5263
1562,ground,121,22.6316
1562,ground,122,22.3421
1562,ground,123,21.6053
1562,ground,124,20.1842
1562,ground,125,19.1316
1566,ground,0,28.28
1566,ground,1,28.2
1566,ground,2,28.48
1566,ground,3,28.84
1566,ground,4,29.16
1566,ground,5,29.52
1566,ground,6,29.48
1566,ground,7,29.8
1566,ground,8,30.24
1566,ground,9,30.88
1566,ground,10,31.08
1566,ground,11,31.76
1566,ground,12,32.6
1566,ground,13,33.16
1566,ground,14,33.56
1566,ground,15,34.12
1566,ground,16,34.76
1566,ground,17,35.76
1566,ground,18,36.64
1566,ground,19,37.96
1566,ground,20,39.92
1566,ground,21,41.52
1566,ground,22,43.36
1566,ground,23,45.08
1566,ground,24,47.52
1566,ground,25,49.8
1566,ground,26,52.04
1566,ground,27,54.08
1566,ground,28,55.88
1566,ground,29,57.32
1566,ground,30,59.24
1566,ground,31,61.76
1566,ground,32,64.56
1566,ground,33,66.96
1566,ground,34,70.04
1566,ground,35,72.12
1566,ground,36,74.04
1566,ground,37,75.76
1566,ground,38,77.32
1566,ground,39,79.28
1566,ground,40,80.96
1566,ground,41,83.2
1566,ground,42,85.2
1566,ground,43,86.6
1566,ground,44,87.48
1566,ground,45,88.8
1566,ground,46,89.96
1566,ground,47,91.2
1566,ground,48,91.36
1566,ground,49,91.28
1566,ground,50,91.84
1566,ground,51,92.08
1566,ground,52,92.48
1566,ground,53,93.32
1566,ground,54,94.4
1566,ground,55,94.96
1566,ground,56,95.72
1566,ground,57,96.48
1566,ground,58,97.96
1566,ground,59,98.68
1566,ground,60,98.16
1566,ground,61,97.68
1566,ground,62,96.8
1566,ground,63,95.84
1566,ground,64,94.24
1566,ground,65,92.48
1566,ground,66,90.72
1566,ground,67,88.6
1566,ground,68,85.4
1566,ground,69,82.36
1566,ground,70,79.04
1566,ground,71,75.68
1566,ground,72,72.24
1566,ground,73,69.24
1566,ground,74,67.24
1566,ground,75,66
1566,ground,76,64.48
1566,ground,77,61.8
1566,ground,78,58.56
1566,ground,79,55.6
1566,ground,80,53.12
1566,ground,81,51.08
1566,ground,82,49.64
1566,ground,83,49.2
1566,ground,84,48.32
1566,ground,85,46.32
1566,ground,86,44.36
1566,ground,87,42.16
1566,ground,88,39.8
1566,ground,89,37.12
1566,ground,90,35.12
1566,ground,91,34.48
1566,ground,92,34.08
1566,ground,93,33.36
1566,ground,94,32.84
1566,ground,95,32.44
1566,ground,96,32.12
1566,ground,97,31.88
1566,ground,98,31.28
1566,ground,99,31.08
1566,ground,100,30.88
1566,ground,101,30.6
1566,ground,102,30.16
1566,ground,103,29.64
1566,ground,104,28.88
1566,ground,105,28
1566,ground,106,27.12
1566,ground,107,26.76
1566,ground,108,26.36
1566,ground,109,26.04
1566,ground,110,25.84
1566,ground,111,25.56
1567,ground,0,26.4
1567,ground,1,27.1333
1567,ground,2,27.4333
1567,ground,3,27.6667
1567,ground,4,28.2333
1567,ground,5,29.1333
1567,ground,6,29.6333
1567,ground,7,30.2667
1567,ground,8,30.7333
1567,ground,9,30.9
1567,ground,10,30.4667
1567,ground,11,30.3667
1567,ground,12,31.0667
1567,ground,13,32
1567,ground,14,32.5333
1567,ground,15,32.5333
1567,ground,16,32.9667
1567,ground,17,34.7
1567,ground,18,36.6333
1567,ground,19,37.8
1567,ground,20,38.2667
1567,ground,21,38.9333
1567,ground,22,38.9
1567,ground,23,40.3333
1567,ground,24,41.8
1567,ground,25,43.2667
1567,ground,26,45.2333
1567,ground,27,47.5
1567,ground,28,49.3333
1567,ground,29,50.5667
1567,ground,30,51.4
1567,ground,31,52.9333
1567,ground,32,54.8667
1567,ground,33,56.9333
1567,ground,34,58.6667
1567,ground,35,59.6333
1567,ground,36,59.5333
1567,ground,37,59.5333
1567,ground,38,61.2333
1567,ground,39,63.9333
1567,ground,40,66.1667
1567,ground,41,67.5333
1567,ground,42,69.9667
1567,ground,43,72.3
1567,ground,44,75.5333
1567,ground,45,79.1333
1567,ground,46,82.2333
1567,ground,47,85.1333
1567,ground,48,87.3667
1567,ground,49,88.7667
1567,ground,50,90.3667
1567,ground,51,91.1667
1567,ground,52,92.3
1567,ground,53,93.7
1567,ground,54,95.2667
1567,ground,55,96.6333
1567,ground,56,97.3333
1567,ground,57,97.1
1567,ground,58,96.7667
1567,ground,59,97
1567,ground,60,97.6333
1567,ground,61,97.9
1567,ground,62,97.9667
1567,ground,63,97.7667
1567,ground,64,97.3333
1567,ground,65,97.4333
1567,ground,66,97.5
1567,ground,67,98.1667
1567,ground,68,98.7
1567,ground,69,98.7333
1567,ground,70,98.9
1567,ground,71,98.8
1567,ground,72,98.6667
1567,ground,73,98.3
1567,ground,74,97.8333
1567,ground,75,97.6667
1567,ground,76,96.7667
1567,ground,77,95.9333
1567,ground,78,95.5667
1567,ground,79,95.4
1567,ground,80,94.4
1567,ground,81,92.4333
1567,ground,82,91.7
1567,ground,83,90.6
1567,ground,84,88.5333
1567,ground,85,85.7667
1567,ground,86,82.6667
1567,ground,87,78.9333
1567,ground,88,74.8667
1567,ground,89,70.8
1567,ground,90,66.9333
1567,ground,91,62.9333
1567,ground,92,57.8667
1567,ground,93,54.0333
1567,ground,94,51.8333
1567,ground,95,50.4667
1567,ground,96,49.5667
1567,ground,97,47.9667
1567,ground,98,45.3667
1567,ground,99,43.2
1567,ground,100,41.5667
1567,ground,101,41.7
1567,ground,102,41.5
1567,ground,103,40.6333
1567,ground,104,39.7
1567,ground,105,38.9333
1567,ground,106,38.2
1567,ground,107,37.0667
1567,ground,108,35.8
1567,ground,109,34.8667
1567,ground,110,34.5333
1567,ground,111,34.6667
1567,ground,112,34.4667
1567,ground,113,34.7
1567,ground,114,33.9667
1567,ground,115,33.7
1567,ground,116,32.9333
1567,ground,117,32.7
1567,ground,118,32.2667
1567,ground,119,32.0667
1567,ground,120,31.7667
1567,ground,121,31.2667
1567,ground,122,30.6667
1567,ground,123,30.4667
1567,ground,124,30.6
1567,ground,125,29.9333
1567,ground,126,29.3333
1567,ground,127,29.0333
1568,ground,0,30.8056
1568,ground,1,31.5
1568,ground,2,32.3056
1568,ground,3,32.7778
1568,ground,4,33.1389
1568,ground,5,33.75
1568,ground,6,34.3056
1568,ground,7,34.5833
1568,ground,8,35.5556
1568,ground,9,37
1568,ground,10,38.3611
1568,ground,11,38.3333
1568,ground,12,38.6111
1568,ground,13,39.4167
1568,ground,14,39.6667
1568,ground,15,40.3056
1568,ground,16,41.5278
1568,ground,17,43.0556
1568,ground,18,44.1111
1568,ground,19,44.3889
1568,ground,20,44.5556
1568,ground,21,45.3889
1568,ground,22,46.6111
1568,ground,23,47.3333
1568,ground,24,47.4167
1568,ground,25,47.6667
1568,ground,26,47.4722
1568,ground,27,47.1667
1568,ground,28,46.9167
1568,ground,29,47.0833
1568,ground,30,47.3889
1568,ground,31,48.1111
1568,ground,32,49
1568,ground,33,50.2778
1568,ground,34,50.6944
1568,ground,35,50.8889
1568,ground,36,51.4444
1568,ground,37,52.4444
1568,ground,38,54.0556
1568,ground,39,55.25
1568,ground,40,56.1389
1568,ground,41,57.6111
1568,ground,42,59.8056
