ID,Treatment,distance,intensity
1580,ground,0,32.1053
1580,ground,1,32.4211
1580,ground,2,33.4737
1580,ground,3,34.4737
1580,ground,4,35.3421
1580,ground,5,35.7895
1580,ground,6,36.4474
1580,ground,7,36.9474
1580,ground,8,37.0263
1580,ground,9,36.8684
1580,ground,10,37.0789
1580,ground,11,37.3947
1580,ground,12,37.8158
1580,ground,13,38.5789
1580,ground,14,39.3684
1580,ground,15,39.7105
1580,ground,16,40.3421
1580,ground,17,41.4474
1580,ground,18,42.5263
1580,ground,19,43.1053
1580,ground,20,43.8421
1580,ground,21,44.6579
1580,ground,22,44.9737
1580,ground,23,45.2632
1580,ground,24,46.1053
1580,ground,25,47.0789
1580,ground,26,48.2105
1580,ground,27,49.2105
1580,ground,28,49.9474
1580,ground,29,50.6316
1580,ground,30,50.8421
1580,ground,31,51.5789
1580,ground,32,52.2632
1580,ground,33,53.2632
1580,ground,34,54.2105
1580,ground,35,55.5
1580,ground,36,57.4737
1580,ground,37,59.2368
1580,ground,38,61.1579
1580,ground,39,63.1316
1580,ground,40,65.3947
1580,ground,41,67.9737
1580,ground,42,69.7368
1580,ground,43,71.3158
1580,ground,44,73.3947
1580,ground,45,75.1316
1580,ground,46,76.6053
1580,ground,47,78.2895
1580,ground,48,80.3421
1580,ground,49,82.6316
1580,ground,50,84.6579
1580,ground,51,86.2368
1580,ground,52,87.2895
1580,ground,53,88.7895
1580,ground,54,90.5789
1580,ground,55,91.8421
1580,ground,56,92.9211
1580,ground,57,93.5789
1580,ground,58,94.1579
1580,ground,59,94.5
1580,ground,60,94.5789
1580,ground,61,94.7105
1580,ground,62,95.6316
1580,ground,63,96.5789
1580,ground,64,97.4737
1580,ground,65,98.9474
1580,ground,66,100.9737
1580,ground,67,103.0526
1580,ground,68,104.0526
1580,ground,69,103.8684
1580,ground,70,103.6316
1580,ground,71,103.3421
1580,ground,72,102.4474
1580,ground,73,101.4474
1580,ground,74,100.5789
1580,ground,75,99.7105
1580,ground,76,99.1842
1580,ground,77,99.1842
1580,ground,78,99
1580,ground,79,98.7632
1580,ground,80,98.7368
1580,ground,81,98.5
1580,ground,82,98.3684
1580,ground,83,97.6316
1580,ground,84,96.8421
1580,ground,85,96.6053
1580,ground,86,96.5263
1580,ground,87,96.1579
1580,ground,88,95.6316
1580,ground,89,94.9211
1580,ground,90,93.8421
1580,ground,91,92.3158
1580,ground,92,90.6316
1580,ground,93,89.4211
1580,ground,94,88.0263
1580,ground,95,86.4737
1580,ground,96,84.4211
1580,ground,97,82.5526
1580,ground,98,81.6842
1580,ground,99,81.7105
1580,ground,100,81.9737
1580,ground,101,81.6842
1580,ground,102,80.3421
1580,ground,103,79.3947
1580,ground,104,78.5263
1580,ground,105,77.8421
1580,ground,106,76.8947
1580,ground,107,75.5789
1580,ground,108,73.8947
1580,ground,109,72.4211
1580,ground,110,70.1579
1580,ground,111,68.5263
1580,ground,112,67.8158
1580,ground,113,66.7632
1580,ground,114,65.8684
1580,ground,115,65.7105
1580,ground,116,65.1842
1580,ground,117,63.7368
1580,ground,118,62.3158
1580,ground,119,61.0526
1580,ground,120,60.4737
1580,ground,121,59.6053
1580,ground,122,58.3421
1580,ground,123,56.3158
1580,ground,124,53.8421
1580,ground,125,52.1053
1580,ground,126,51
1580,ground,127,49.5789
1580,ground,128,48.8947
1580,ground,129,49.3684
1580,ground,130,49.7632
1580,ground,131,49.7368
1580,ground,132,49.5263
1580,ground,133,48.4737
1580,ground,134,47.0526
1580,ground,135,45.8947
1580,ground,136,45.3158
1580,ground,137,44.6316
1580,ground,138,43.3158
1580,ground,139,42.4737
1580,ground,140,41.7105
1580,ground,141,40.7632
1580,ground,142,40.5526
1580,ground,143,40.7105
1580,ground,144,41.2632
1580,ground,145,40.4211
1580,ground,146,39.1579
1580,ground,147,38.0789
1580,ground,148,37.4211
1580,ground,149,36.8947
1580,ground,150,36.6053
1580,ground,151,35.8684
1580,ground,152,35.0789
1580,ground,153,34.4737
1580,ground,154,33.5789
1580,ground,155,33.0526
1580,ground,156,32.6316
1580,ground,157,32.2105
1580,ground,158,31.9211
1580,ground,159,31.6316
1581,ground,0,28.4
1581,ground,1,28.3667
1581,ground,2,28.2
1581,ground,3,28.5
1581,ground,4,28.9
1581,ground,5,29.6333
1581,ground,6,29.9
1581,ground,7,30
1581,ground,8,30.2333
1581,ground,9,30.5333
1581,ground,10,31.1
1581,ground,11,31.2
1581,ground,12,31.9333
1581,ground,13,32.8667
1581,ground,14,33.9333
1581,ground,15,34.4
1581,ground,16,34.8667
1581,ground,17,35.2
1581,ground,18,35.5333
1581,ground,19,36.1667
1581,ground,20,36.3
