Plate_Num,Treatment,Organ,Mass,
1,Control,Shoot,0.0465,
2,Control,Shoot,0.0374,
3,Control,Shoot,0.0568,
4,Control,Shoot,0.0454,
5,Control,Shoot,0.033,
6,Control,Shoot,0.0218,
7,Control,Shoot,0.0268,
8,Control,Shoot,0.0418,
1,Control,Root,0.004,
2,Control,Root,0.006,
3,Control,Root,0.0127,
4,Control,Root,0.0099,
5,Control,Root,0.0082,
6,Control,Root,0.0019,
7,Control,Root,0.0044,
8,Control,Root,0.0064,
1,Inoculated,Shoot,0.0749,
2,Inoculated,Shoot,0.0651,
3,Inoculated,Shoot,0.065,
4,Inoculated,Shoot,0.0637,
5,Inoculated,Shoot,0.0671,
6,Inoculated,Shoot,0.0602,
7,Inoculated,Shoot,0.0705,
8,Inoculated,Shoot,0.0548,
1,Inoculated,Root,0.0106,
2,Inoculated,Root,0.0222,
3,Inoculated,Root,0.0175,
4,Inoculated,Root,0.0166,
5,Inoculated,Root,0.0201,
6,Inoculated,Root,0.0189,
7,Inoculated,Root,0.0123,
8,Inoculated,Root,0.0127,
